mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
7,286,4,roc_auc,hand_till,0.7199212915318074,5,0.013190132840825158,Preprocessor1_Model231
3,286,2,roc_auc,hand_till,0.7198097207282723,5,0.01009645048202166,Preprocessor1_Model099
4,143,1,roc_auc,hand_till,0.7197446176215025,5,0.011063615684108491,Preprocessor1_Model020
2,286,1,roc_auc,hand_till,0.719678493339406,5,0.012570296654896361,Preprocessor1_Model034
7,286,3,roc_auc,hand_till,0.7195437528263916,5,0.01223162316012183,Preprocessor1_Model167
3,500,5,roc_auc,hand_till,0.7195281343472811,5,0.012628401264064715,Preprocessor1_Model315
8,214,7,roc_auc,hand_till,0.7194073379993023,5,0.012247368921008233,Preprocessor1_Model416
6,143,4,roc_auc,hand_till,0.7193581222422493,5,0.010843963640521549,Preprocessor1_Model214
7,214,7,roc_auc,hand_till,0.7193258044314591,5,0.010691808705675532,Preprocessor1_Model415
4,500,3,roc_auc,hand_till,0.7193026094863396,5,0.012140139580497545,Preprocessor1_Model188
8,143,3,roc_auc,hand_till,0.7192439953308009,5,0.013154691278506022,Preprocessor1_Model152
6,286,6,roc_auc,hand_till,0.7192135956709369,5,0.008813730246189358,Preprocessor1_Model358
8,500,3,roc_auc,hand_till,0.7191617936847103,5,0.011178163046622485,Preprocessor1_Model192
6,143,3,roc_auc,hand_till,0.7190867276278983,5,0.011612700289888176,Preprocessor1_Model150
6,286,4,roc_auc,hand_till,0.7190577369243044,5,0.01139382645168536,Preprocessor1_Model230
7,428,8,roc_auc,hand_till,0.7190142080692676,5,0.012459090409705165,Preprocessor1_Model503
4,214,8,roc_auc,hand_till,0.7188747287471494,5,0.010260413567773352,Preprocessor1_Model476
3,428,1,roc_auc,hand_till,0.7188012370712767,5,0.015102011224188616,Preprocessor1_Model051
2,72,2,roc_auc,hand_till,0.718729197070566,5,0.012524194834211601,Preprocessor1_Model074
3,500,1,roc_auc,hand_till,0.7187148705754857,5,0.010857442789815631,Preprocessor1_Model059
7,72,3,roc_auc,hand_till,0.7186713171106525,5,0.012467699508446435,Preprocessor1_Model143
7,357,2,roc_auc,hand_till,0.7185921404506722,5,0.010790668160374703,Preprocessor1_Model111
4,214,1,roc_auc,hand_till,0.7185698430666188,5,0.010160035016040275,Preprocessor1_Model028
6,72,1,roc_auc,hand_till,0.7185304185764999,5,0.00999683835246481,Preprocessor1_Model014
6,214,8,roc_auc,hand_till,0.7184732003960178,5,0.01196949851269327,Preprocessor1_Model478
3,214,3,roc_auc,hand_till,0.7184642576926307,5,0.013655355356983262,Preprocessor1_Model155
8,286,6,roc_auc,hand_till,0.7184058614518932,5,0.010655847123450924,Preprocessor1_Model360
4,357,3,roc_auc,hand_till,0.7183395633467062,5,0.01344316945122559,Preprocessor1_Model172
5,214,5,roc_auc,hand_till,0.7183308108191044,5,0.010648759563629262,Preprocessor1_Model285
3,500,2,roc_auc,hand_till,0.718267318149957,5,0.011776195374437196,Preprocessor1_Model123
8,357,7,roc_auc,hand_till,0.7182589323264919,5,0.009985250870298716,Preprocessor1_Model432
8,286,5,roc_auc,hand_till,0.7182223798945029,5,0.011586507639328739,Preprocessor1_Model296
3,428,7,roc_auc,hand_till,0.7181613921352017,5,0.009676717041447597,Preprocessor1_Model435
4,143,5,roc_auc,hand_till,0.7181171612852169,5,0.0107225158890137,Preprocessor1_Model276
4,357,1,roc_auc,hand_till,0.7181005647938188,5,0.007721402819309116,Preprocessor1_Model044
4,143,8,roc_auc,hand_till,0.7179653102005285,5,0.011098099813303551,Preprocessor1_Model468
3,357,6,roc_auc,hand_till,0.7179506160726399,5,0.010928885424113287,Preprocessor1_Model363
7,500,5,roc_auc,hand_till,0.717941367472915,5,0.0107382782386308,Preprocessor1_Model319
8,286,8,roc_auc,hand_till,0.7179229335442628,5,0.012489582673454628,Preprocessor1_Model488
5,286,2,roc_auc,hand_till,0.7178951039829512,5,0.011407202056587832,Preprocessor1_Model101
3,143,7,roc_auc,hand_till,0.7177084981523473,5,0.011846026353149184,Preprocessor1_Model403
6,72,8,roc_auc,hand_till,0.7175895957694568,5,0.011499630978651604,Preprocessor1_Model462
3,500,3,roc_auc,hand_till,0.7174854976226007,5,0.010854413995191119,Preprocessor1_Model187
2,428,1,roc_auc,hand_till,0.7174793472327202,5,0.014116390399393051,Preprocessor1_Model050
7,286,1,roc_auc,hand_till,0.7174791981405573,5,0.009854421977826678,Preprocessor1_Model039
